"region","year","units","value","scenario","level"
"BLZ","2005","ug/m3",14.0932534002996,"Sustainable_NDC-LTT","WORLD-CTRY"
"BMU","2005","ug/m3",0,"Sustainable_NDC-LTT","WORLD-CTRY"
"BOL","2005","ug/m3",11.0171679335726,"Sustainable_NDC-LTT","WORLD-CTRY"
"BRA","2005","ug/m3",6.8091260634898,"Sustainable_NDC-LTT","WORLD-CTRY"
"BRB","2005","ug/m3",4.9990087652499,"Sustainable_NDC-LTT","WORLD-CTRY"
"BRN","2005","ug/m3",6.78145226852085,"Sustainable_NDC-LTT","WORLD-CTRY"
"BTN","2005","ug/m3",24.7741362035591,"Sustainable_NDC-LTT","WORLD-CTRY"
"BWA","2005","ug/m3",5.2837281916496,"Sustainable_NDC-LTT","WORLD-CTRY"
"CAF","2005","ug/m3",18.4028483223802,"Sustainable_NDC-LTT","WORLD-CTRY"
"CAN","2005","ug/m3",9.55150668837238,"Sustainable_NDC-LTT","WORLD-CTRY"
"CHE","2005","ug/m3",18.1818006511429,"Sustainable_NDC-LTT","WORLD-CTRY"
"CHL","2005","ug/m3",52.0201955274548,"Sustainable_NDC-LTT","WORLD-CTRY"
"CHN","2005","ug/m3",41.9429735429388,"Sustainable_NDC-LTT","WORLD-CTRY"
"CIV","2005","ug/m3",29.8196121304484,"Sustainable_NDC-LTT","WORLD-CTRY"
"CMR","2005","ug/m3",29.0842711551252,"Sustainable_NDC-LTT","WORLD-CTRY"
"COD","2005","ug/m3",16.1738832042792,"Sustainable_NDC-LTT","WORLD-CTRY"
"COG","2005","ug/m3",22.4542083644934,"Sustainable_NDC-LTT","WORLD-CTRY"
"COK","2005","ug/m3",0.407048008021186,"Sustainable_NDC-LTT","WORLD-CTRY"
"COL","2005","ug/m3",17.3437282056789,"Sustainable_NDC-LTT","WORLD-CTRY"
"COM","2005","ug/m3",1.16091527183547,"Sustainable_NDC-LTT","WORLD-CTRY"
"CPV","2005","ug/m3",15.2538676241328,"Sustainable_NDC-LTT","WORLD-CTRY"
"CRI","2005","ug/m3",9.19202272346869,"Sustainable_NDC-LTT","WORLD-CTRY"
"CUB","2005","ug/m3",8.28389735702001,"Sustainable_NDC-LTT","WORLD-CTRY"
"CUW","2005","ug/m3",5.34229114827975,"Sustainable_NDC-LTT","WORLD-CTRY"
"CYM","2005","ug/m3",0.513815135666818,"Sustainable_NDC-LTT","WORLD-CTRY"
"CYN","2005","ug/m3",18.3114082891537,"Sustainable_NDC-LTT","WORLD-CTRY"
"CYP","2005","ug/m3",20.300289554659,"Sustainable_NDC-LTT","WORLD-CTRY"
"CZE","2005","ug/m3",15.0327877885054,"Sustainable_NDC-LTT","WORLD-CTRY"
"DEU","2005","ug/m3",17.3196139556592,"Sustainable_NDC-LTT","WORLD-CTRY"
"DJI","2005","ug/m3",15.6016530534223,"Sustainable_NDC-LTT","WORLD-CTRY"
"DMA","2005","ug/m3",6.67767347701608,"Sustainable_NDC-LTT","WORLD-CTRY"
"DNK","2005","ug/m3",13.0799500368025,"Sustainable_NDC-LTT","WORLD-CTRY"
"DOM","2005","ug/m3",11.3356812427516,"Sustainable_NDC-LTT","WORLD-CTRY"
"DZA","2005","ug/m3",22.6736729701035,"Sustainable_NDC-LTT","WORLD-CTRY"
"ECU","2005","ug/m3",11.6258752831528,"Sustainable_NDC-LTT","WORLD-CTRY"
"EGY","2005","ug/m3",50.6225597620598,"Sustainable_NDC-LTT","WORLD-CTRY"
"ERI","2005","ug/m3",14.6445139533221,"Sustainable_NDC-LTT","WORLD-CTRY"
"ESP","2005","ug/m3",13.9889580836806,"Sustainable_NDC-LTT","WORLD-CTRY"
"EST","2005","ug/m3",5.75021876331595,"Sustainable_NDC-LTT","WORLD-CTRY"
"ETH","2005","ug/m3",9.91101367625466,"Sustainable_NDC-LTT","WORLD-CTRY"
"FIN","2005","ug/m3",4.86114628937078,"Sustainable_NDC-LTT","WORLD-CTRY"
"FJI","2005","ug/m3",1.51941997731358,"Sustainable_NDC-LTT","WORLD-CTRY"
"FLK","2005","ug/m3",2.13567021326824,"Sustainable_NDC-LTT","WORLD-CTRY"
"FRA","2005","ug/m3",16.2402571986817,"Sustainable_NDC-LTT","WORLD-CTRY"
"FRO","2005","ug/m3",3.77952819586732,"Sustainable_NDC-LTT","WORLD-CTRY"
"FSM","2005","ug/m3",1.16032508190119,"Sustainable_NDC-LTT","WORLD-CTRY"
"GAB","2005","ug/m3",17.5806883290147,"Sustainable_NDC-LTT","WORLD-CTRY"
"GBR","2005","ug/m3",12.9275864671629,"Sustainable_NDC-LTT","WORLD-CTRY"
"GEO","2005","ug/m3",11.6737908843737,"Sustainable_NDC-LTT","WORLD-CTRY"
"GGY","2005","ug/m3",7.03228856722514,"Sustainable_NDC-LTT","WORLD-CTRY"
"GHA","2005","ug/m3",35.2566057972344,"Sustainable_NDC-LTT","WORLD-CTRY"
"GIN","2005","ug/m3",26.2343012460122,"Sustainable_NDC-LTT","WORLD-CTRY"
"GMB","2005","ug/m3",29.0842433225267,"Sustainable_NDC-LTT","WORLD-CTRY"
"GNB","2005","ug/m3",26.0549210077709,"Sustainable_NDC-LTT","WORLD-CTRY"
"GNQ","2005","ug/m3",17.2105173609417,"Sustainable_NDC-LTT","WORLD-CTRY"
"GRC","2005","ug/m3",17.347143354755,"Sustainable_NDC-LTT","WORLD-CTRY"
"GRD","2005","ug/m3",4.6396881352123,"Sustainable_NDC-LTT","WORLD-CTRY"
"GRL","2005","ug/m3",4.02375646008015,"Sustainable_NDC-LTT","WORLD-CTRY"
"GTM","2005","ug/m3",18.4989031226138,"Sustainable_NDC-LTT","WORLD-CTRY"
"GUM","2005","ug/m3",4.31818132162094,"Sustainable_NDC-LTT","WORLD-CTRY"
"GUY","2005","ug/m3",9.03247198142355,"Sustainable_NDC-LTT","WORLD-CTRY"
"HKG","2005","ug/m3",29.7614472109733,"Sustainable_NDC-LTT","WORLD-CTRY"
"HMD","2005","ug/m3",1.23320298596522,"Sustainable_NDC-LTT","WORLD-CTRY"
"HND","2005","ug/m3",14.6515182003499,"Sustainable_NDC-LTT","WORLD-CTRY"
"HRV","2005","ug/m3",12.8282417371695,"Sustainable_NDC-LTT","WORLD-CTRY"
"HTI","2005","ug/m3",11.2718301658865,"Sustainable_NDC-LTT","WORLD-CTRY"
"HUN","2005","ug/m3",14.6673468584126,"Sustainable_NDC-LTT","WORLD-CTRY"
"IDN","2005","ug/m3",9.81662140805244,"Sustainable_NDC-LTT","WORLD-CTRY"
"IMN","2005","ug/m3",7.89724652444163,"Sustainable_NDC-LTT","WORLD-CTRY"
"IND","2005","ug/m3",40.3563789197448,"Sustainable_NDC-LTT","WORLD-CTRY"
"IOA","2005","ug/m3",3.99070672742252,"Sustainable_NDC-LTT","WORLD-CTRY"
"IOT","2005","ug/m3",0,"Sustainable_NDC-LTT","WORLD-CTRY"
"IRL","2005","ug/m3",8.10078764912785,"Sustainable_NDC-LTT","WORLD-CTRY"
"IRN","2005","ug/m3",31.4464622419369,"Sustainable_NDC-LTT","WORLD-CTRY"
"IRQ","2005","ug/m3",23.8058127286033,"Sustainable_NDC-LTT","WORLD-CTRY"
"ISL","2005","ug/m3",3.35121579949828,"Sustainable_NDC-LTT","WORLD-CTRY"
"ISR","2005","ug/m3",27.7988566773431,"Sustainable_NDC-LTT","WORLD-CTRY"
"ITA","2005","ug/m3",22.5580481603741,"Sustainable_NDC-LTT","WORLD-CTRY"
"JAM","2005","ug/m3",13.2271894354996,"Sustainable_NDC-LTT","WORLD-CTRY"
"JEY","2005","ug/m3",6.23309435075329,"Sustainable_NDC-LTT","WORLD-CTRY"
"JOR","2005","ug/m3",30.6311521687979,"Sustainable_NDC-LTT","WORLD-CTRY"
"JPN","2005","ug/m3",18.8780985063329,"Sustainable_NDC-LTT","WORLD-CTRY"
"KAS","2005","ug/m3",5.61714581957086,"Sustainable_NDC-LTT","WORLD-CTRY"
"KAZ","2005","ug/m3",16.0319251250519,"Sustainable_NDC-LTT","WORLD-CTRY"
